Dataset,Gap,Method,NSE,R2,RMSE,MAE,Sim,Time (s),Group
Wind Speed,5D,MICE-Ridge,0.3087032960732579,0.30870329607205427,1.2203528982727527,0.9096419917678756,0.9545969978523243,6.855258464813232,Meteorological
Wind Speed,5D,MICE-LGBM,0.34168654776304347,0.3416865477618789,1.1832620999461791,0.8728559667462655,0.9561700316650761,90.01525616645813,Meteorological
Wind Speed,5D,MLBII-Ridge,0.3691567587819813,0.36915675878085014,1.1463903187462223,0.8469025774464741,0.9568566561175462,80.48131275177002,Meteorological
Wind Speed,5D,MLBII-LGBM,0.3917840074049616,0.39178400740386116,1.124350389180058,0.8245040115572552,0.9580965857042952,780.2913341522217,Meteorological
Wind Speed,7D,MICE-Ridge,0.30081656936082424,0.30081656935987283,1.1400167438477153,0.8796972106649126,0.9552884020860751,6.870736837387085,Meteorological
Wind Speed,7D,MICE-LGBM,0.33538241376461114,0.3353824137636989,1.1027752923157281,0.8489937041785007,0.9565891037560137,92.10481452941895,Meteorological
Wind Speed,7D,MLBII-Ridge,0.3502844097545641,0.3502844097536659,1.0856471012736533,0.8368363171423243,0.9568541162072468,79.8877763748169,Meteorological
Wind Speed,7D,MLBII-LGBM,0.3717213255155721,0.3717213255147024,1.0702824035632388,0.8220316724776225,0.9579257944391635,812.3774814605713,Meteorological
ETTh1,1D,MICE-Ridge,0.7785557383312073,0.778555738330805,1.812142355336397,1.325001482937434,0.9624040419493491,0.3090932369232178,ETT
ETTh1,1D,MICE-LGBM,0.8388702421858055,0.8388702421855412,1.4380614833899688,1.0906488352755457,0.9697503270664328,4.9330549240112305,ETT
ETTh1,1D,MLBII-Ridge,0.6733599816788124,0.6733599816779193,1.822411819259503,1.2190847663350046,0.9593058594782076,2.4177396297454834,ETT
ETTh1,1D,MLBII-LGBM,0.9267871245255062,0.9267871245252185,0.6310290990612574,0.45286947955646345,0.9804998601166558,26.979317665100098,ETT
ETTh1,3D,MICE-Ridge,0.7722275042916722,0.7722275042914831,1.909791450170944,1.5279257195523814,0.9585879218509327,0.30588507652282715,ETT
ETTh1,3D,MICE-LGBM,0.8537039509392067,0.8537039509390884,1.5523063019206338,1.1064803783917843,0.9685084270065064,4.8133580684661865,ETT
ETTh1,3D,MLBII-Ridge,0.27555274953665526,0.2755527495359199,2.4967660883281715,1.5649288401616335,0.9536424090658108,2.4270997047424316,ETT
ETTh1,3D,MLBII-LGBM,0.9049184665015754,0.9049184665014703,0.9456201429485708,0.6010433170931095,0.9775764893460973,27.658433437347412,ETT
ETTh1,5D,MICE-Ridge,0.7352205834478395,0.735220583447684,1.7057801313950556,1.2747398133372376,0.9609469104190997,0.3010537624359131,ETT
ETTh1,5D,MICE-LGBM,0.8222281879454646,0.8222281879453661,1.3801687066056962,0.94934043786896,0.9696475505758245,4.959825038909912,ETT
ETTh1,5D,MLBII-Ridge,0.4501306509780125,0.4501306509777443,2.315876924104289,1.5299382420982697,0.954234533177577,2.308029890060425,ETT
ETTh1,5D,MLBII-LGBM,0.8961708672814978,0.896170867281431,0.942296114248637,0.5761505318805618,0.9770992951801244,27.568476676940918,ETT
ETTh1,7D,MICE-Ridge,0.7404631223891137,0.7404631223890507,2.056828482037124,1.4332173338391168,0.9601068019594968,0.2905106544494629,ETT
ETTh1,7D,MICE-LGBM,0.8055823507066858,0.8055823507066266,1.6590163579199637,1.0979265933043294,0.9670406004933259,4.798840761184692,ETT
ETTh1,7D,MLBII-Ridge,0.6559032259801044,0.6559032259800135,2.1988861998184763,1.4876605003082244,0.9546222320283109,2.286163330078125,ETT
ETTh1,7D,MLBII-LGBM,0.8560316868902424,0.8560316868901827,1.2289409204899175,0.6940235865551713,0.9733075452248763,27.226492881774902,ETT
ETTh2,1D,MICE-Ridge,0.6592274584027302,0.6592274584027109,5.277660281811683,3.451723646490489,0.9491609041967823,0.30994629859924316,ETT
ETTh2,1D,MICE-LGBM,0.8468412988575793,0.846841298857574,3.384519157955036,1.756636190291945,0.9752357689754002,4.9695751667022705,ETT
ETTh2,1D,MLBII-Ridge,0.9345343173658145,0.9345343173658068,1.8972147304293452,1.4594776525611888,0.976456742902734,2.499689817428589,ETT
ETTh2,1D,MLBII-LGBM,0.9058973249591844,0.9058973249591783,2.0855332328306555,1.1299609445223606,0.9800183667779809,27.80427360534668,ETT
ETTh2,3D,MICE-Ridge,0.41204664534845165,0.41204664534833046,5.104263923242283,3.5205036905859575,0.9463482825274354,0.3153538703918457,ETT
