group,mode,input,feature,encoder,fusion,classifier,pretrained,frozen,best_epoch,weight_file,paper_f1,paper_precision,paper_recall,macro_f1,macro_precision,macro_recall,weighted_f1,weighted_precision,weighted_recall,accuracy,binary_contact_f1,ambient_precision,ambient_recall,ambient_f1,ambient_support,leaf_precision,leaf_recall,leaf_f1,leaf_support,trunk_precision,trunk_recall,trunk_f1,trunk_support,twig_precision,twig_recall,twig_f1,twig_support
handcrafted,audio_ml_logreg_mfcc_fft,mfcc_fft,mfcc_fft,handcrafted,none,logreg,False,False,,,0.5968907808175197,0.5972262638045006,0.6226330027051398,0.45079519180162164,0.47094890259122413,0.46049184091237727,0.5968907808175197,0.5972262638045006,0.6226330027051398,0.6226330027051398,0.842,0.8122605363984674,0.9372236958443855,0.8702791461412152,1131,0.26141078838174275,0.2150170648464164,0.23595505617977527,293,0.4657534246575342,0.22125813449023862,0.3,461,0.3443708609271523,0.46846846846846846,0.3969465648854962,333
handcrafted,audio_ml_logreg_stft,stft,stft,handcrafted,none,logreg,False,False,,,0.5899463476347572,0.5992014118523532,0.6397655545536519,0.4374244524250066,0.4879726820936827,0.4547741106916516,0.5899463476347572,0.5992014118523532,0.6397655545536519,0.6397655545536519,0.8336909871244635,0.7848716169326856,1.0,0.8794712286158631,1131,0.31333333333333335,0.16040955631399317,0.21218961625282168,293,0.5098039215686274,0.16919739696312364,0.254071661237785,461,0.3438818565400844,0.4894894894894895,0.40396530359355637,333
handcrafted,audio_ml_random_forest_stft,stft,stft,handcrafted,none,random_forest,False,False,,,0.589172608404695,0.6379999297993258,0.6415689810640216,0.43532714443675535,0.5184878284271259,0.4723475353083175,0.589172608404695,0.6379999297993258,0.6415689810640216,0.6415689810640216,0.8775720164609053,0.8280675973548861,0.9964633068081344,0.9044943820224719,1131,0.3172690763052209,0.2696245733788396,0.2915129151291513,293,0.5964912280701754,0.0737527114967462,0.13127413127413126,461,0.33212341197822143,0.5495495495495496,0.41402714932126694,333
handcrafted,audio_ml_random_forest_mfcc,mfcc,mfcc,handcrafted,none,random_forest,False,False,,,0.581433253048764,0.6081726049024431,0.6379621280432822,0.4338032079905701,0.4915044033155256,0.4735874916176526,0.581433253048764,0.6081726049024431,0.6379621280432822,0.6379621280432822,0.8607329842931937,0.8100358422939068,0.9991158267020336,0.894695170229612,1131,0.3227848101265823,0.5221843003412969,0.39895697522816165,293,0.4745762711864407,0.06073752711496746,0.1076923076923077,461,0.3586206896551724,0.3123123123123123,0.33386837881219905,333
handcrafted,audio_ml_linear_svm_stft,stft,stft,handcrafted,none,linear_svm,False,False,,,0.5684876876282239,0.5787640034660351,0.6280432822362488,0.42715969077557175,0.4936977054846067,0.4327601108767589,0.5684876876282239,0.5787640034660351,0.6280432822362488,0.6280432822362488,0.7331002331002331,0.7117684078036501,1.0,0.8316176470588236,1131,0.31851851851851853,0.14675767918088736,0.20093457943925233,293,0.5534591194968553,0.19088937093275488,0.2838709677419355,461,0.39104477611940297,0.3933933933933934,0.39221556886227543,333
handcrafted,audio_ml_logreg_mfcc,mfcc,mfcc,handcrafted,none,logreg,False,False,,,0.5728894053880085,0.5734028034978538,0.5973850315599639,0.4271103082389577,0.4371688847068583,0.4471370498047133,0.5728894053880085,0.5734028034978538,0.5973850315599639,0.5973850315599639,0.8465660009741841,0.8258785942492013,0.9142351900972591,0.8678136802349979,1131,0.30548302872062666,0.3993174061433447,0.34615384615384615,293,0.3333333333333333,0.12364425162689804,0.18037974683544303,461,0.28398058252427183,0.35135135135135137,0.31409395973154364,333
handcrafted,audio_ml_linear_svm_mfcc_fft,mfcc_fft,mfcc_fft,handcrafted,none,linear_svm,False,False,,,0.5755905502391784,0.5737342790687678,0.6163210099188458,0.42142575503394464,0.44942881159770676,0.4379250124594851,0.5755905502391784,0.5737342790687678,0.6163210099188458,0.6163210099188458,0.8210197710718002,0.7845263919016631,0.9593280282935456,0.8631662688941926,1131,0.23529411764705882,0.13651877133105803,0.17278617710583152,293,0.4473684210526316,0.1843817787418655,0.261136712749616,461,0.33052631578947367,0.47147147147147145,0.3886138613861386,333
handcrafted,audio_ml_linear_svm_mfcc,mfcc,mfcc,handcrafted,none,linear_svm,False,False,,,0.5485542835299101,0.5566723107875217,0.5991884580703336,0.4027424357644489,0.44458712529223093,0.4222476373357366,0.5485542835299101,0.5566723107875217,0.5991884580703336,0.5991884580703336,0.7790948275862069,0.748792270531401,0.9593280282935456,0.8410852713178295,1131,0.26973684210526316,0.27986348122866894,0.2747068676716918,293,0.43564356435643564,0.09544468546637744,0.15658362989323843,461,0.3241758241758242,0.35435435435435436,0.3385939741750359,333
handcrafted,audio_ml_logreg_fft,fft,fft,handcrafted,none,logreg,False,False,,,0.5254751128388776,0.5297913957657132,0.609107303877367,0.38279925006860965,0.4586266115729104,0.39306584834373515,0.5254751128388776,0.5297913957657132,0.609107303877367,0.609107303877367,0.5506666666666666,0.6265927977839335,1.0,0.7704359673024523,1131,0.09090909090909091,0.006825938566552901,0.012698412698412698,293,0.5297029702970297,0.23210412147505424,0.32277526395173456,461,0.5873015873015873,0.3333333333333333,0.42528735632183906,333
handcrafted,audio_ml_linear_svm_fft,fft,fft,handcrafted,none,linear_svm,False,False,,,0.5125283402312683,0.5456988600305622,0.6000901713255185,0.3729477740919515,0.48958357460871565,0.3795099931392899,0.5125283402312683,0.5456988600305622,0.6000901713255185,0.6000901713255185,0.47224174279690795,0.6009564293304994,1.0,0.7507467640225689,1131,0.07142857142857142,0.006825938566552901,0.012461059190031152,293,0.6369426751592356,0.21691973969631237,0.32362459546925565,461,0.6490066225165563,0.29429429429429427,0.4049586776859504,333
